"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Rv0001",4507.90028272281,-0.189006656152628,0.106375182872284,0.0546664013688152,0.0915403276815908
"Rv0002",1648.07308898108,0.190512537388698,0.087575088816669,0.0212733613214333,0.0400208883516274
"Rv0003",750.435213188309,0.239104781243026,0.0937570500583251,0.00684867465894758,0.014495571643765
"Rv0004",615.918082867906,0.297050037358079,0.0912223888504072,0.000578987839612802,0.00154435589412483
"Rv0005",6185.86274311278,-0.224514002961845,0.0480172087920007,2.24584983433161e-06,9.2079843207596e-06
"Rv0006",7813.61349251747,-0.218445667672242,0.0540983597655248,4.1487180992957e-05,0.000138070727036812
"Rv0007",1526.17840524671,-0.278670889627665,0.0746259966721704,0.000104822080437212,0.000324165951709793
"Rv0008c",223.854767810719,0.0308926822589178,0.11166217076918,0.762907023573457,0.821576288316176
"Rv0009",8676.34595544644,-0.159676962748075,0.0778242008814237,0.0335943600349973,0.059432726805687
"Rv0010c",1748.50887828989,-0.240595284994525,0.0902886173213942,0.00467877985159832,0.0102520702312984
"Rv0011c",835.116710973061,-0.101681495129519,0.104577136998259,0.296283681143403,0.386207866242974
"Rv0012",2464.56686725751,-0.209582508979367,0.0575375514843892,0.000180775452125667,0.000534133709586759
"Rv0013",1217.22801437148,-0.426456877939428,0.0608328169556611,8.06505536581505e-13,8.33109745190817e-12
"Rv0014c",5659.11313198614,-0.414297999428254,0.0564691208228842,6.91075783924062e-14,8.43070059099998e-13
"Rv0015c",3816.64295651388,-0.32053588764706,0.0583515668298217,1.60758612260458e-08,9.21234871700061e-08
"Rv0016c",4075.07168774635,-0.416953017757517,0.058328713831066,3.37846882797496e-13,3.67108484394984e-12
"Rv0017c",3349.75441245248,-0.396434939976724,0.0618054868315446,4.4570331479219e-11,3.67751469487249e-10
"Rv0018c",6258.30367157298,-0.515840714359696,0.0574977328974175,6.30686048004773e-20,1.50193916941017e-18
"Rv0019c",1293.38015965406,-0.404761552522999,0.0827769449535841,3.51534881151611e-07,1.6389850203282e-06
"Rv0020c",15746.5183257132,-0.314557000589989,0.0703435814075097,3.83535372464959e-06,1.50723337578374e-05
"Rv0021c",774.882319413586,-0.10161100332608,0.0893520381351434,0.230131557658697,0.312006885846204
"Rv0022c",141.433923473625,-0.842016965203862,0.268052175584982,0.000157840033256511,0.000473401065053652
"Rv0023",705.278737698408,0.169177753244567,0.0959267804013524,0.0609828307357186,0.100566513982178
"Rv0024",929.919359933979,0.0783895162864268,0.0741759637189835,0.274331154212807,0.361502650862933
"Rv0025",417.657968597655,0.15412428441406,0.099074817103993,0.0960483285683335,0.149122144867612
"Rv0026",847.62154637552,-0.311614115122995,0.0900302420044479,0.000264417094246931,0.000759268435971152
"Rv0027",163.741164257363,0.282480291699435,0.153193333572032,0.031936555110964,0.0568144369028903
"Rv0028",149.763605338273,0.16686990485847,0.144422083994429,0.181616478252788,0.25613075674161
"Rv0029",1038.14777175073,-0.248818129696282,0.072321114477158,0.000360696532567277,0.00100384192443671
"Rv0030",219.825567191783,-0.0495737842431843,0.127808421775577,0.66455858123258,0.738666706976515
"Rv0031",25.4440071737618,-0.0214932134360402,0.238942078927932,0.874554699147486,0.910498439400406
"Rv0032",534.389164340311,0.280193545864355,0.0981173230631468,0.00242071466257528,0.0056431314261793
"Rv0033",13.1029785410644,0.0247529676283526,0.235518027576317,0.855054887325709,0.893706514295492
"Rv0034",44.0945747407008,0.20692655722395,0.223082554488325,0.189981247134434,0.26632196681482
"Rv0035",725.517529596453,0.317924724304792,0.0751371498207708,1.13839754015653e-05,4.14597712198033e-05
"Rv0036c",1126.43274024269,0.357551410624469,0.0788263424762378,2.38740305967341e-06,9.7481539715823e-06
