"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Rv0001",4507.90028272281,0.0779223658489047,0.106700217176013,0.448206641826019,0.515774830596666
"Rv0002",1648.07308898108,0.431548539946781,0.0891536068482753,6.34839770777658e-07,1.77175983746158e-06
"Rv0003",750.435213188309,0.602202725829679,0.0947735085168714,7.32475658660521e-11,3.00935505629431e-10
"Rv0004",615.918082867906,0.452583419193586,0.0915017676664286,3.76236324289166e-07,1.08426946499856e-06
"Rv0005",6185.86274311278,-0.121229544124933,0.0479754676080393,0.0105496231190572,0.0172942502656598
"Rv0006",7813.61349251747,-0.141621202481262,0.0541008003918892,0.00821507530677028,0.0137563597873791
"Rv0007",1526.17840524671,-0.272202226261454,0.0746974158099169,0.000204696951850084,0.000426890287104238
"Rv0008c",223.854767810719,0.315590838958383,0.117049221930625,0.00490253497984377,0.00846240521477373
"Rv0009",8676.34595544644,-0.197258936151586,0.0786996653635111,0.0104769717949802,0.0171964163551945
"Rv0010c",1748.50887828989,0.323383441349593,0.0902967275779011,0.00023969929767733,0.000493929589048053
"Rv0011c",835.116710973061,-0.0986459719161232,0.107463749114104,0.340590050460125,0.405425510529757
"Rv0012",2464.56686725751,0.503128133476711,0.0569573724261894,4.46941865659485e-19,3.55497559945554e-18
"Rv0013",1217.22801437148,-0.0252534050029042,0.0590648101225526,0.667665764323714,0.718427149544212
"Rv0014c",5659.11313198614,0.309656285464563,0.0557131231179096,1.95183694291049e-08,6.40466627224012e-08
"Rv0015c",3816.64295651388,0.130031625214702,0.0575616316613036,0.0217260041979279,0.0338045065317525
"Rv0016c",4075.07168774635,0.20597255165764,0.0573406642761435,0.000284800166458226,0.000582639023664797
"Rv0017c",3349.75441245248,0.349885162242934,0.0607870611556324,6.20991403188544e-09,2.13087386581608e-08
"Rv0018c",6258.30367157298,0.308868405858864,0.0566242807188229,3.77316157546427e-08,1.20432292019433e-07
"Rv0019c",1293.38015965406,0.494180103826631,0.0806472260686283,3.90568754380298e-10,1.50658771694515e-09
"Rv0020c",15746.5183257132,0.241239411371156,0.0699374823487148,0.000453131340102821,0.0009033099446561
"Rv0021c",774.882319413586,0.663366569105131,0.0904036646486949,6.21598833425165e-14,3.31380504092746e-13
"Rv0022c",141.433923473625,1.04371820325218,0.220911813846103,3.23307647033745e-07,9.41284415997952e-07
"Rv0023",705.278737698408,-0.0436112432671234,0.0974654541088016,0.642062700297287,0.695511809121191
"Rv0024",929.919359933979,0.11110658610297,0.0754634122073552,0.135065636287823,0.177689723955234
"Rv0025",417.657968597655,0.210920465650052,0.101118803275909,0.0315108347476721,0.0475789875493961
"Rv0026",847.62154637552,0.4100203300593,0.087930650068394,1.70638651417474e-06,4.58533727491414e-06
"Rv0027",163.741164257363,0.344896258017218,0.1547200423994,0.015988299173464,0.0253530565442051
"Rv0028",149.763605338273,0.76240146101252,0.153112449039409,1.70067259552845e-07,5.06634824900123e-07
"Rv0029",1038.14777175073,0.763317103878605,0.070165685791075,3.49140480921776e-28,5.29973928483169e-27
"Rv0030",219.825567191783,0.940952520757948,0.135040138164378,5.32721374825231e-13,2.65825960813042e-12
"Rv0031",25.4440071737618,1.8344972684321,0.380481750978431,1.26725499581081e-07,3.82969081940698e-07
"Rv0032",534.389164340311,-0.176792212439041,0.09963192912167,0.0720887964781171,0.10087865714056
"Rv0033",13.1029785410644,-0.244553274660664,0.337580384233884,0.268726062475366,0.326926751442194
"Rv0034",44.0945747407008,-0.339916340970632,0.259395863986409,0.10097915365854,0.136457388413189
"Rv0035",725.517529596453,0.00955215331000231,0.0757915455353877,0.897630605680822,0.915822708771839
"Rv0036c",1126.43274024269,-0.241633426610854,0.079929943627665,0.00200207530656784,0.00364071947609525
"Rv0037c",1605.27766155562,0.0150009912912848,0.0681304600404087,0.828492999204234,0.856489903258445
"Rv0038",1703.11234163801,0.50124417019487,0.0670854951423492,3.45407155004781e-14,1.88692892232694e-13
"Rv0039c",393.060389808231,-0.195296539378332,0.0877331163066232,0.0212303569663913,0.0330721228575551
"Rv0040c",1709.80501296929,-1.17736588172538,0.107407227980943,6.7085819712469e-29,1.06294942229677e-27
"Rv0041",2767.1718735221,0.0204054457522605,0.0471060619335537,0.660119966999151,0.71126987503539
