"","x"
"Rv0001",0.00443335827617733
"Rv0002",0.00534094973541766
"Rv0003",0.0121655993032758
"Rv0004",0.00273487900015835
"Rv0005",2.16984650326551e-05
"Rv0006",6.86921009424878e-05
"Rv0007",0.000353319227305207
"Rv0008c",0.00314773251008975
"Rv0009",0.000357438256749793
"Rv0010c",0.00896110625511563
"Rv0011c",0.000618457943674067
"Rv0012",0.0279530368024868
"Rv0013",0.00442685233120838
"Rv0014c",0.0209242841548607
"Rv0015c",0.00902448237877469
"Rv0016c",0.0160246647987426
"Rv0017c",0.0200391433605454
"Rv0018c",0.0266048671368129
"Rv0019c",0.0363223005552304
"Rv0020c",0.00921593200936179
"Rv0021c",0.0721229713428774
"Rv0022c",0.353663307713264
"Rv0023",6.55332628237476e-05
"Rv0024",0.00265820670687282
"Rv0025",0.00268731125455615
"Rv0026",0.0498156802766339
"Rv0027",0.00313322707553754
"Rv0028",0.0314455294403028
"Rv0029",0.0517372868325967
"Rv0030",0.0735923782474448
"Rv0031",0.113589111161589
"Rv0032",0.0128251347374141
"Rv0033",0.00988796916439669
"Rv0034",0.0144560557156144
"Rv0035",0.00452666147114828
"Rv0036c",0.0112023905520902
"Rv0037c",0.00899559056522227
"Rv0038",0.0289641980072789
"Rv0039c",0.000452088202557596
"Rv0040c",0.028846020311425
"Rv0041",0.000803545029274055
"Rv0042c",0.00761852499311799
"Rv0043c",0.00344545710812072
"Rv0044c",0.0227199552030605
"Rv0045c",2.84347842140936e-05
"Rv0046c",0.0152539904637873
"Rv0047c",0.0119254813484511
"Rv0048c",0.0107757214820287
"Rv0049",0.000481748805373794
"Rv0050",0.0122213851679297
"Rv0051",0.0237861139247423
"Rv0052",0.00791240086287444
"Rv0053",0.0060015548308679
"Rv0054",0.00406769514415718
"Rv0055",0.010649464081386
"Rv0056",0.0209156147397517
"Rv0057",0.000312160395549563
"Rv0058",0.0448091075086159
"Rv0059",0.00670959370323745
"Rv0060",0.00272523226251118
"Rv0061c",0.00788301001837013
"Rv0062",0.0505868469795785
"Rv0063",0.00310026317931701
"Rv0064",0.0475929840223875
"Rv0064A",0.00990308055198937
"Rv0065",0.00814712159382509
"Rv0066c",0.00598341379790626
"Rv0067c",0.00800998229699516
"Rv0068",0.00976060831336581
"Rv0069c",0.0123604432501569
"Rv0070c",0.0152765383140833
"Rv0071",0.00998651460449841
"Rv0072",0.00267388855219921
"Rv0073",0.0231634000616309
"Rv0074",0.0370132885067766
"Rv0075",0.0019509861120162
"Rv0076c",1.33782440048291e-06
"Rv0077c",0.0455066305063315
"Rv0078",0.000200871263225387
"Rv0078A",0.023062554791767
"Rv0078B",1.50593921502374e-05
"Rv0079",0.0656122427118436
"Rv0080",0.0292331543133404
"Rv0081",0.0131024627107988
"Rv0082",0.0438449035576464
"Rv0083",0.00429486153223862
"Rv0084",0.0322567439326558
"Rv0085",0.0316000064812084
