"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Rv0001",4507.90028272281,-0.186588200436631,0.105941713013325,0.0479519464435846,0.0964129883751951
"Rv0002",1648.07308898108,0.077308795822735,0.0848094548167623,0.323247019694614,0.447771994888707
"Rv0003",750.435213188309,0.0870009162843082,0.0901989347588826,0.295769869029224,0.4190512180724
"Rv0004",615.918082867906,0.1192018956377,0.0883523514652293,0.143621671371229,0.234958201169632
"Rv0005",6185.86274311278,-0.159267320193845,0.0477603948672066,0.000624209814448383,0.00219107010773276
"Rv0006",7813.61349251747,-0.0865010893613258,0.0532894806839164,0.0947193622488372,0.167794611876893
"Rv0007",1526.17840524671,-0.134141570092074,0.0727311249256898,0.0499489494641765,0.0995724170521454
"Rv0008c",223.854767810719,0.0787990243860967,0.109034919259485,0.4129409205088,0.538906191403699
"Rv0009",8676.34595544644,-0.187693815960411,0.078002174796731,0.0104621728335968,0.0261357169341799
"Rv0010c",1748.50887828989,-0.252775487847421,0.0908630820088865,0.00244599961247701,0.00740315103411042
"Rv0011c",835.116710973061,-0.263531188754096,0.109855890260519,0.00695063078977139,0.0183428391844199
"Rv0012",2464.56686725751,-0.28601684664115,0.0581584280179994,3.67833119004578e-07,2.63106531345541e-06
"Rv0013",1217.22801437148,-0.403556143717811,0.0610057268137786,9.70473469122717e-12,1.47876359643718e-10
"Rv0014c",5659.11313198614,-0.307672060547542,0.0563306758591806,1.60543137190931e-08,1.53850616050201e-07
"Rv0015c",3816.64295651388,-0.190174596332791,0.0576928594490689,0.000720767938849399,0.00249912301029125
"Rv0016c",4075.07168774635,-0.318694768527031,0.0582036062576174,1.70041002595239e-08,1.61783030459632e-07
"Rv0017c",3349.75441245248,-0.292940464795844,0.0615766378212068,7.39916132146853e-07,5.09108383658829e-06
"Rv0018c",6258.30367157298,-0.375473438499372,0.0573975238436532,1.59826455168151e-11,2.33687430957257e-10
"Rv0019c",1293.38015965406,-0.265943866352392,0.0818037282905748,0.000527741148163113,0.00188913280490072
"Rv0020c",15746.5183257132,-0.115531144461258,0.068464320499899,0.0734900425007561,0.13612943596903
"Rv0021c",774.882319413586,-0.0426477570985971,0.0866709248331484,0.595435567975041,0.701435797937423
"Rv0022c",141.433923473625,-0.757655173586644,0.272335478380218,0.000443582828244311,0.00161254927598503
"Rv0023",705.278737698408,-0.0478961749861437,0.0924870131928553,0.569846032594133,0.68037964050514
"Rv0024",929.919359933979,0.0310788965075418,0.0730136002633308,0.653504786487828,0.749636151099536
"Rv0025",417.657968597655,0.0260529255994823,0.0951962038191307,0.77162976911928,0.842374853633647
"Rv0026",847.62154637552,-0.344488456794568,0.0912135269393763,4.90727146188942e-05,0.000225360491962289
"Rv0027",163.741164257363,0.125010785555042,0.140040865403587,0.271279813048906,0.392034817040516
"Rv0028",149.763605338273,-0.0618628596713426,0.134714349546604,0.571274729456906,0.681247256086991
"Rv0029",1038.14777175073,-0.291282474897977,0.0731782450595763,2.75269721719589e-05,0.000133343201373789
"Rv0030",219.825567191783,-0.11515622101781,0.127564419619047,0.282007589374788,0.404093884587752
"Rv0031",25.4440071737618,0.0425078802770144,0.207321053296181,0.685029958006222,0.775463244367084
"Rv0032",534.389164340311,0.402592344814776,0.0998634379572812,1.25855260900455e-05,6.61197321798033e-05
"Rv0033",13.1029785410644,0.0562413650840569,0.208404920775126,0.583744766438628,0.691735990298113
"Rv0034",44.0945747407008,0.0372470257643139,0.177554034479405,0.740030933284712,0.816621260175721
"Rv0035",725.517529596453,0.319002430354032,0.075557581465482,8.70105612720924e-06,4.76640498869299e-05
"Rv0036c",1126.43274024269,0.236080704254433,0.0784008749295523,0.00137130986832178,0.00444112324618545
"Rv0037c",1605.27766155562,0.40776700238669,0.0683792762563124,6.25316058851714e-10,7.35763895282032e-09
"Rv0038",1703.11234163801,-0.189025990028849,0.0674088232399567,0.00325472425898361,0.00944820319560424
"Rv0039c",393.060389808231,-0.323571541082576,0.0898670326267277,0.000104600836551945,0.000442080262451738
"Rv0040c",1709.80501296929,-0.339038064849282,0.105884415245598,0.000386136447554815,0.00142852525760512
"Rv0041",2767.1718735221,0.190963210346577,0.0466923191809221,2.81542511992822e-05,0.000136050373049265
"Rv0042c",554.37160130603,-0.25442017937716,0.0729553097765735,0.000218544001641153,0.00085210734757536
"Rv0043c",438.746118117452,0.269661973692344,0.0917112462976718,0.00142297172580678,0.00459347285189413
