"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Rv0001",4507.90028272281,0.101765977388472,0.105556541301386,0.30996671192714,0.38224422118891
"Rv0002",1648.07308898108,0.422184027748471,0.0894503911445884,9.24081672235431e-07,3.40585535593128e-06
"Rv0003",750.435213188309,0.616476658525602,0.0952458440983524,2.34864735912277e-11,1.52623701752145e-10
"Rv0004",615.918082867906,0.353531125018591,0.0918776660667497,6.14149794942886e-05,0.000170444782588127
"Rv0005",6185.86274311278,-0.202426663428645,0.0481029685363332,2.39259599224802e-05,7.07461283358393e-05
"Rv0006",7813.61349251747,-0.226028171403899,0.0542381434238755,2.35025595317291e-05,6.96607693196317e-05
"Rv0007",1526.17840524671,-0.277052419957615,0.0748745689485758,0.000134870051939186,0.000348977356253834
"Rv0008c",223.854767810719,0.244626848202424,0.11695859587799,0.0259429637610311,0.0437925156526403
"Rv0009",8676.34595544644,-0.269464268365969,0.0789348254948247,0.000471259187062958,0.00110702763552828
"Rv0010c",1748.50887828989,-0.0736516235321108,0.0888501720901284,0.384942464663619,0.458770207362065
"Rv0011c",835.116710973061,-0.0163400696851612,0.105509807017913,0.868701463372487,0.897357329826593
"Rv0012",2464.56686725751,0.409955763718427,0.0571723323878969,3.76492639417976e-13,3.03714244820546e-12
"Rv0013",1217.22801437148,-0.193725768978397,0.0598996338696585,0.00100874571093509,0.00222941851211116
"Rv0014c",5659.11313198614,0.203705691056593,0.055619508201585,0.000216947723252177,0.000540602190083903
"Rv0015c",3816.64295651388,0.179039251038478,0.0575558003563643,0.0017778087076492,0.00375682530835328
"Rv0016c",4075.07168774635,0.153081839533622,0.0572305794375537,0.00647310196010206,0.0123470151056719
"Rv0017c",3349.75441245248,0.141829546993828,0.0605195433418977,0.0161450989708401,0.0284993602339241
"Rv0018c",6258.30367157298,0.19974688728488,0.0564852190323546,0.000338972900306151,0.000816532540592103
"Rv0019c",1293.38015965406,0.421954711155148,0.0808921951511223,7.5996789673934e-08,3.28820708261444e-07
"Rv0020c",15746.5183257132,0.1043608299744,0.0692989452307609,0.129351849886938,0.180883370956523
"Rv0021c",774.882319413586,1.5628497110111,0.0884798697233582,5.94442012256773e-71,1.39064463690893e-68
"Rv0022c",141.433923473625,3.19887836501829,0.207110290573744,9.03678569332896e-55,1.08906959704149e-52
"Rv0023",705.278737698408,0.277638242509507,0.0978896094354357,0.00299236096826123,0.00605321443070953
"Rv0024",929.919359933979,0.469327314246518,0.0757246145955423,2.03094688795363e-10,1.20553369752113e-09
"Rv0025",417.657968597655,0.41703741174607,0.102201905591074,1.84707064895924e-05,5.57767651549802e-05
"Rv0026",847.62154637552,0.899156667740185,0.0877473193521706,1.62194510954873e-25,3.72859867091059e-24
"Rv0027",163.741164257363,0.576800595910818,0.158673480957124,6.78216091690907e-05,0.000186146680238422
"Rv0028",149.763605338273,0.898304244784285,0.15347973069351,6.97894151909432e-10,3.9425071621361e-09
"Rv0029",1038.14777175073,0.596840048548109,0.0707926567842037,8.92089871980088e-18,1.12629886376661e-16
"Rv0030",219.825567191783,1.23529064486862,0.13395158262372,2.7535006193352e-21,4.72011722547245e-20
"Rv0031",25.4440071737618,2.11640551345335,0.376394716217403,1.51374728779246e-09,8.21305997755879e-09
"Rv0032",534.389164340311,-0.130798724710273,0.0986939848957941,0.150887121065071,0.206000027626429
"Rv0033",13.1029785410644,-0.284782213881953,0.352913943706509,0.145654712067477,0.199610196379172
"Rv0034",44.0945747407008,-0.291160916837352,0.253953056160736,0.118815817889098,0.168100500798628
"Rv0035",725.517529596453,0.00360662588251692,0.0755847531114948,0.960922657076925,0.971425878798915
"Rv0036c",1126.43274024269,-0.0379097817265103,0.0782935880871617,0.617303428215616,0.683848393875628
"Rv0037c",1605.27766155562,0.100298156828136,0.0678416747514496,0.131083908380919,0.183047999870405
"Rv0038",1703.11234163801,0.401950503414612,0.0673214990887048,1.06154416194699e-09,5.84731458734512e-09
"Rv0039c",393.060389808231,-0.337420241653298,0.0900789552120859,9.71414932401923e-05,0.000258243127417276
